state,year,race,deaths,population
Minnesota,2023.0,Black or African American,,450487.0
Minnesota,2023.0,White,,4719651.0
Mississippi,2021.0,Black or African American,23.0,1119623.0
Mississippi,2021.0,White,15.0,1733991.0
Mississippi,2022.0,Black or African American,12.0,1110533.0
Mississippi,2022.0,White,,1729691.0
Mississippi,2023.0,Black or African American,13.0,1111684.0
Mississippi,2023.0,White,,1726482.0
Missouri,2021.0,Black or African American,,727065.0
Missouri,2021.0,White,27.0,5095927.0
Missouri,2022.0,Black or African American,,725317.0
Missouri,2022.0,White,14.0,5095625.0
Missouri,2023.0,Black or African American,12.0,725454.0
Missouri,2023.0,White,13.0,5104983.0
Montana,2021.0,Black or African American,0.0,6894.0
Montana,2021.0,White,,980015.0
Montana,2022.0,Black or African American,0.0,6993.0
Montana,2022.0,White,,996179.0
Montana,2023.0,Black or African American,0.0,7270.0
Montana,2023.0,White,,1004899.0
Nebraska,2021.0,Black or African American,,104653.0
Nebraska,2021.0,White,,1721884.0
Nebraska,2022.0,Black or African American,,105601.0
Nebraska,2022.0,White,,1721883.0
Nebraska,2023.0,Black or African American,,108042.0
Nebraska,2023.0,White,,1726189.0
Nevada,2021.0,Black or African American,,334455.0
Nevada,2021.0,White,,2287445.0
Nevada,2022.0,Black or African American,,344357.0
Nevada,2022.0,White,,2290214.0
Nevada,2023.0,Black or African American,,351346.0
Nevada,2023.0,White,,2283527.0
New Hampshire,2021.0,Black or African American,0.0,26779.0
New Hampshire,2021.0,White,,1288649.0
New Hampshire,2022.0,Black or African American,,27993.0
New Hampshire,2022.0,White,,1291413.0
New Hampshire,2023.0,Black or African American,0.0,28784.0
New Hampshire,2023.0,White,,1297231.0
New Jersey,2021.0,Black or African American,13.0,1419801.0
New Jersey,2021.0,White,28.0,6593546.0
New Jersey,2022.0,Black or African American,14.0,1429864.0
New Jersey,2022.0,White,24.0,6549769.0
New Jersey,2023.0,Black or African American,14.0,1442900.0
New Jersey,2023.0,White,10.0,6540982.0
New Mexico,2021.0,Black or African American,0.0,57350.0
New Mexico,2021.0,White,14.0,1720615.0
New Mexico,2022.0,Black or African American,0.0,58095.0
New Mexico,2022.0,White,,1714851.0
New Mexico,2023.0,Black or African American,0.0,60042.0
New Mexico,2023.0,White,,1706885.0
New York,2021.0,Black or African American,36.0,3499231.0
New York,2021.0,White,44.0,13711327.0
New York,2022.0,Black or African American,30.0,3491532.0
New York,2022.0,White,42.0,13501459.0
New York,2023.0,Black or African American,27.0,3457457.0
New York,2023.0,White,28.0,13408792.0
North Carolina,2021.0,Black or African American,34.0,2349731.0
North Carolina,2021.0,White,46.0,7392234.0
North Carolina,2022.0,Black or African American,31.0,2373876.0
North Carolina,2022.0,White,34.0,7480293.0
North Carolina,2023.0,Black or African American,28.0,2392417.0
North Carolina,2023.0,White,31.0,7564526.0
North Dakota,2021.0,Black or African American,0.0,27157.0
North Dakota,2021.0,White,,671664.0
North Dakota,2022.0,Black or African American,0.0,28128.0
North Dakota,2022.0,White,,675085.0
