"Notes","State","State Code","Year","Year Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"Delaware","10","2018","2018","White","2106-3",Suppressed,672019,Suppressed
,"Delaware","10","2019","2019","Black or African American","2054-5",Suppressed,225544,Suppressed
,"Delaware","10","2019","2019","White","2106-3",Suppressed,674075,Suppressed
,"Delaware","10","2020","2020","Black or African American","2054-5",Suppressed,230739,Suppressed
,"Delaware","10","2020","2020","White","2106-3",0,677898,Unreliable
,"Delaware","10","2021","2021","Black or African American","2054-5",Suppressed,236621,Suppressed
,"Delaware","10","2021","2021","White","2106-3",Suppressed,686599,Suppressed
,"Delaware","10","2022","2022","Black or African American","2054-5",0,242210,Unreliable
,"Delaware","10","2022","2022","White","2106-3",Suppressed,692506,Suppressed
,"Delaware","10","2023 ","2023","Black or African American","2054-5",0,248434,Unreliable
,"Delaware","10","2023 ","2023","White","2106-3",Suppressed,697094,Suppressed
,"District of Columbia","11","2018","2018","Black or African American","2054-5",Suppressed,326181,Suppressed
,"District of Columbia","11","2018","2018","White","2106-3",0,320374,Unreliable
,"District of Columbia","11","2019","2019","Black or African American","2054-5",Suppressed,324484,Suppressed
,"District of Columbia","11","2019","2019","White","2106-3",Suppressed,324581,Suppressed
,"District of Columbia","11","2020","2020","Black or African American","2054-5",Suppressed,324186,Suppressed
,"District of Columbia","11","2020","2020","White","2106-3",Suppressed,329706,Suppressed
,"District of Columbia","11","2021","2021","Black or African American","2054-5",Suppressed,306925,Suppressed
,"District of Columbia","11","2021","2021","White","2106-3",Suppressed,307274,Suppressed
,"District of Columbia","11","2022","2022","Black or African American","2054-5",Suppressed,302568,Suppressed
,"District of Columbia","11","2022","2022","White","2106-3",Suppressed,310692,Suppressed
,"District of Columbia","11","2023 ","2023","Black or African American","2054-5",Suppressed,301204,Suppressed
,"District of Columbia","11","2023 ","2023","White","2106-3",Suppressed,316428,Suppressed
,"Florida","12","2018","2018","Black or African American","2054-5",25,3600121,0.7
,"Florida","12","2018","2018","White","2106-3",68,16472125,0.4
,"Florida","12","2019","2019","Black or African American","2054-5",39,3633515,1.1
,"Florida","12","2019","2019","White","2106-3",72,16597392,0.4
,"Florida","12","2020","2020","Black or African American","2054-5",32,3692972,0.9
,"Florida","12","2020","2020","White","2106-3",28,16750159,0.2
,"Florida","12","2021","2021","Black or African American","2054-5",58,3710894,1.6
,"Florida","12","2021","2021","White","2106-3",49,16749416,0.3
,"Florida","12","2022","2022","Black or African American","2054-5",20,3773336,0.5
,"Florida","12","2022","2022","White","2106-3",34,17084651,0.2
,"Florida","12","2023 ","2023","Black or African American","2054-5",29,3829414,0.8
,"Florida","12","2023 ","2023","White","2106-3",31,17333331,0.2
,"Georgia","13","2018","2018","Black or African American","2054-5",56,3411145,1.6
,"Georgia","13","2018","2018","White","2106-3",52,6360528,0.8
,"Georgia","13","2019","2019","Black or African American","2054-5",62,3458147,1.8
,"Georgia","13","2019","2019","White","2106-3",34,6391505,0.5
,"Georgia","13","2020","2020","Black or African American","2054-5",28,3510241,0.8
,"Georgia","13","2020","2020","White","2106-3",21,6399954,0.3
,"Georgia","13","2021","2021","Black or African American","2054-5",57,3558724,1.6
,"Georgia","13","2021","2021","White","2106-3",36,6418207,0.6
,"Georgia","13","2022","2022","Black or African American","2054-5",31,3613543,0.9
,"Georgia","13","2022","2022","White","2106-3",27,6436683,0.4
,"Georgia","13","2023 ","2023","Black or African American","2054-5",39,3661752,1.1
,"Georgia","13","2023 ","2023","White","2106-3",18,6473549,Unreliable
,"Hawaii","15","2018","2018","Black or African American","2054-5",0,31138,Unreliable
,"Hawaii","15","2018","2018","White","2106-3",0,363549,Unreliable
,"Hawaii","15","2019","2019","Black or African American","2054-5",0,30958,Unreliable
,"Hawaii","15","2019","2019","White","2106-3",0,361317,Unreliable
,"Hawaii","15","2020","2020","Black or African American","2054-5",0,30537,Unreliable
,"Hawaii","15","2020","2020","White","2106-3",Suppressed,355055,Suppressed
,"Hawaii","15","2021","2021","Black or African American","2054-5",0,31000,Unreliable
,"Hawaii","15","2021","2021","White","2106-3",0,364116,Unreliable
,"Hawaii","15","2022","2022","Black or African American","2054-5",0,31516,Unreliable
,"Hawaii","15","2022","2022","White","2106-3",0,363260,Unreliable
,"Hawaii","15","2023 ","2023","Black or African American","2054-5",0,31398,Unreliable
,"Hawaii","15","2023 ","2023","White","2106-3",Suppressed,361515,Suppressed
,"Idaho","16","2018","2018","Black or African American","2054-5",0,15775,Unreliable
,"Idaho","16","2018","2018","White","2106-3",Suppressed,1632188,Suppressed
,"Idaho","16","2019","2019","Black or African American","2054-5",0,16346,Unreliable
,"Idaho","16","2019","2019","White","2106-3",Suppressed,1662365,Suppressed
,"Idaho","16","2020","2020","Black or African American","2054-5",0,16771,Unreliable
,"Idaho","16","2020","2020","White","2106-3",Suppressed,1697299,Suppressed
,"Idaho","16","2021","2021","Black or African American","2054-5",Suppressed,17786,Suppressed
,"Idaho","16","2021","2021","White","2106-3",Suppressed,1764099,Suppressed
,"Idaho","16","2022","2022","Black or African American","2054-5",0,18882,Unreliable
,"Idaho","16","2022","2022","White","2106-3",Suppressed,1795997,Suppressed
,"Idaho","16","2023 ","2023","Black or African American","2054-5",Suppressed,19766,Suppressed
,"Idaho","16","2023 ","2023","White","2106-3",Suppressed,1816589,Suppressed
,"Illinois","17","2018","2018","Black or African American","2054-5",Suppressed,1860190,Suppressed
,"Illinois","17","2018","2018","White","2106-3",27,9791840,0.3
,"Illinois","17","2019","2019","Black or African American","2054-5",Suppressed,1852516,Suppressed
,"Illinois","17","2019","2019","White","2106-3",29,9726915,0.3
,"Illinois","17","2020","2020","Black or African American","2054-5",13,1852475,Unreliable
,"Illinois","17","2020","2020","White","2106-3",23,9620497,0.2
,"Illinois","17","2021","2021","Black or African American","2054-5",18,1866607,Unreliable
,"Illinois","17","2021","2021","White","2106-3",30,9668380,0.3
,"Illinois","17","2022","2022","Black or African American","2054-5",20,1851472,1.1
,"Illinois","17","2022","2022","White","2106-3",17,9572606,Unreliable
,"Illinois","17","2023 ","2023","Black or African American","2054-5",11,1836105,Unreliable
,"Illinois","17","2023 ","2023","White","2106-3",22,9540695,0.2
,"Indiana","18","2018","2018","Black or African American","2054-5",Suppressed,658729,Suppressed
,"Indiana","18","2018","2018","White","2106-3",39,5694468,0.7
,"Indiana","18","2019","2019","Black or African American","2054-5",Suppressed,669596,Suppressed
,"Indiana","18","2019","2019","White","2106-3",43,5709592,0.8
,"Indiana","18","2020","2020","Black or African American","2054-5",Suppressed,681501,Suppressed
,"Indiana","18","2020","2020","White","2106-3",25,5707819,0.4
,"Indiana","18","2021","2021","Black or African American","2054-5",Suppressed,695117,Suppressed
,"Indiana","18","2021","2021","White","2106-3",31,5732894,0.5
,"Indiana","18","2022","2022","Black or African American","2054-5",Suppressed,704235,Suppressed
,"Indiana","18","2022","2022","White","2106-3",23,5736944,0.4
,"Indiana","18","2023 ","2023","Black or African American","2054-5",Suppressed,715156,Suppressed
,"Indiana","18","2023 ","2023","White","2106-3",22,5743468,0.4
,"Iowa","19","2018","2018","Black or African American","2054-5",0,124819,Unreliable
,"Iowa","19","2018","2018","White","2106-3",10,2864126,Unreliable
,"Iowa","19","2019","2019","Black or African American","2054-5",0,128105,Unreliable
,"Iowa","19","2019","2019","White","2106-3",11,2859080,Unreliable
,"Iowa","19","2020","2020","Black or African American","2054-5",Suppressed,132706,Suppressed
,"Iowa","19","2020","2020","White","2106-3",Suppressed,2855523,Suppressed
,"Iowa","19","2021","2021","Black or African American","2054-5",Suppressed,137863,Suppressed
,"Iowa","19","2021","2021","White","2106-3",16,2875490,Unreliable
,"Iowa","19","2022","2022","Black or African American","2054-5",Suppressed,141178,Suppressed
,"Iowa","19","2022","2022","White","2106-3",Suppressed,2874863,Suppressed
,"Iowa","19","2023 ","2023","Black or African American","2054-5",Suppressed,144668,Suppressed
