state,mortality_rate_black,mortality_rate_white,gap_black_minus_white,ratio_black_to_white,has_black_and_white
Alabama,1.3015784216961825,0.3814461902918702,0.9201322314043123,3.4122202680809504,True
Alaska,0.0,0.0,0.0,,True
Arizona,0.0,0.33795038190332216,-0.33795038190332216,0.0,True
Arkansas,0.6995242535551571,0.43192379415236487,0.26760045940279226,1.6195547988458212,True
California,0.6177574510749242,0.18688835886278554,0.43086909221213865,3.3054891959776107,True
Colorado,0.0,0.2779271452369177,-0.2779271452369177,0.0,True
Connecticut,0.0,0.1293225929744208,-0.1293225929744208,0.0,True
Delaware,0.0,0.0,0.0,,True
District of Columbia,0.0,0.0,0.0,,True
Florida,0.9457607115797527,0.2227981184425286,0.7229625931372241,4.2449223458038965,True
Georgia,1.1722334989443899,0.419071607386401,0.753161891557989,2.79721526890163,True
Hawaii,0.0,0.0,0.0,,True
Idaho,0.0,0.0,0.0,,True
Illinois,0.8822178019309407,0.23973582363031543,0.6424819783006253,3.6799581663329737,True
Indiana,0.0,0.44151890403853855,-0.44151890403853855,0.0,True
Iowa,0.0,0.18550668716824736,-0.18550668716824736,0.0,True
Kansas,0.0,0.0,0.0,,True
Kentucky,0.0,0.4333362703902771,-0.4333362703902771,0.0,True
Louisiana,1.2829860127980068,0.20890176858558415,1.0740842442124228,6.1415756385632765,True
Maine,0.0,0.0,0.0,,True
Maryland,0.479453122070306,0.21645781467766562,0.2629953073926404,2.2149956691758867,True
Massachusetts,0.0,0.13810894862521247,-0.13810894862521247,0.0,True
Michigan,0.6581799068957509,0.22745920361225433,0.43072070328349654,2.8936173891549295,True
Minnesota,0.0,0.10580276685520955,-0.10580276685520955,0.0,True
Mississippi,1.436334474421277,0.2890082086038129,1.147326265817464,4.969874320733489,True
Missouri,0.5510056771951607,0.35302112537251085,0.19798455182264985,1.560829190076755,True
Montana,0.0,0.0,0.0,,True
Nebraska,0.0,0.0,0.0,,True
Nevada,0.0,0.0,0.0,,True
New Hampshire,0.0,0.0,0.0,,True
New Jersey,0.9551398755755592,0.3149718783454649,0.6401679972300943,3.032460804414896,True
New Mexico,0.0,0.27224901606288643,-0.27224901606288643,0.0,True
New York,0.8901037688716354,0.28063902391975026,0.6094647449518852,3.1717034802906237,True
North Carolina,1.3069095888378117,0.49471737665369864,0.8121922121841131,2.6417297036902876,True
North Dakota,0.0,0.0,0.0,,True
Ohio,1.1681253011904897,0.3779761553742382,0.7901491458162515,3.090473524801893,True
Oklahoma,0.0,0.26113472803499294,-0.26113472803499294,0.0,True
Oregon,0.0,0.2563105957152558,-0.2563105957152558,0.0,True
Pennsylvania,0.7777681082283242,0.26095183007427836,0.5168162781540458,2.9805045168946975,True
Rhode Island,0.0,0.0,0.0,,True
South Carolina,0.7682759647265297,0.18335227362319861,0.5849236911033311,4.1901632826511275,True
South Dakota,0.0,0.0,0.0,,True
Tennessee,1.5808040703446518,0.5433464271772706,1.0374576431673812,2.90938523062912,True
Texas,0.9939191199972633,0.5079607566738403,0.485958363323423,1.956684855943419,True
Utah,0.0,0.142459102731204,-0.142459102731204,0.0,True
Vermont,0.0,0.0,0.0,,True
Virginia,1.1512516311796548,0.4707407975077637,0.680510833671891,2.445616860222674,True
Washington,0.0,0.1672105095595363,-0.1672105095595363,0.0,True
West Virginia,0.0,0.0,0.0,,True
Wisconsin,0.0,0.24803583360633594,-0.24803583360633594,0.0,True
Wyoming,0.0,0.0,0.0,,True
